abbreviation,title,description,action
5Gepl,5G,Able to use and develop with 5G and related telecommunications technologies.,keep
accountmanepl,Accounts Management,Managing sales accounts.,keep
account_methodsepl,Accounting Methods,"Knowledge of accounting tools, laws and types.",keep
ApacheGroovy_epl,Apache Groovy,"Apache Groovy is a powerful, optionally typed and dynamic language, with static-typing and static compilation capabilities, for the Java platform aimed at improving developer productivity thanks to a concise, familiar and easy to learn syntax. It integrates smoothly with any Java program, and immediately delivers to your application powerful features, including scripting capabilities, Domain-Specific Language authoring, runtime and compile-time meta-programming and functional programming.",keep
stuff,Something,Something is used in making mud pies,keep
AdobeAfterEffects_epl,Adobe After Effects,"Adobe After Effects is a digital visual effects, motion graphics, and compositing application developed by Adobe Inc., and used in the post-production process of film making, video games and television production. Among other things, After Effects can be used for keying, tracking, compositing, and animation.",keep
adobe_creative_epl,Adobe Creative Cloud,"Adobe Creative Cloud is a set of applications and services from Adobe Inc. that gives subscribers access to a collection of software used for graphic design, video editing, web development, photography, along with a set of mobile applications and also some optional cloud services.",keep
AdobeLiveCycleDesigner_epl,Adobe LiveCycle Designer,"Adobe LiveCycle Designer gives business users the ability to create forms that closely mirror the paper forms they will replace. A unified design environment lets form authors easily lay out templates, incorporate business logic, and preview forms in real time. Authors use an intuitive grid layout and drag-and-drop libraries to position graphics, enter text, and add form objects such as list boxes, drop-down lists, command buttons, and checkboxes. They can then render a single template into multiple formats to suit audience preference, type of data to be captured, or the platform being used.",keep
AdvancedIntelligentNetwork(AIN)_epl,Advanced Intelligent Network (AIN),"The Advanced Intelligent Network (AIN) is a telephone network architecture that separates service logic from switching equipment, allowing new services to be added without having to redesign switches to support new services.",keep
agileepl,Agile Development Practices,"Agile Development uses agile processes of iteration, planning in small teams etc to deliver software",keep
AgileMethodology_epl,Agile Methodology (SCRUM),"Agile methodology is the idea that iteration is key, the customer requirements is first and can be applied to more than just software development",keep
AgileScoping_epl,Agile Scoping (Product Owner),"Agile gives you the ability to develop stories incrementally based on priority, set product goals and objectives, collaborate with stakeholders and team members on project progress, acceptance criteria for project deliverables, incremental delivery timeline, prioritization of product requirements, tasks and roles involved to accomplish deliverables, pricing model and additional resource cost (e.g. license, tools).",keep
AIasaService(AIaaS)_epl,AI as a Service (AIaaS),Artificial Intelligence as a Service (AIaaS) is the third-party offering of artificial intelligence (AI) outsourcing.,keep
aibias,AI Bias,"AI bias is the presence of unfair, discriminatory, or systematically prejudiced outputs generated by artificial intelligence systems, often as a result of biases present in their training data, flawed algorithms, or unintended consequences of algorithmic design. This can lead to AI systems reinforcing existing stereotypes, making flawed decisions, or perpetuating systemic inequalities, and it is crucial to recognize and mitigate these biases to ensure ethical and equitable AI applications.",
aiepl,Artificial Intelligence implementation,Artificial intelligence is the capability of a computer system to mimic human cognitive functions such as learning and problem-solving.,
Ajax_epl,Ajax (Programming Language),"The individual skilled in the Ajax programming language is able to develop new web components using various technologies, including AJAX, HTML/CSS, jQuery, JavaScript, XML, PHP, and SQL.",
AlarmLinkingDatabase(ALDB)_epl,Alarm Linking Database (ALDB),Processes and alarms that showcase database errors.,
Alignmentepl,Alignment,"Having alignment in an organization means conducting regular check-ins on goals, developing a strong workplace culture around vision and goals, facilitating opportunities for learning, and promoting the company vision by always making sure it is visible to all employees.",
AmazonDynamoDB_epl,Amazon DynamoDB,"DynamoDB is a fully managed NoSQL database service to store and retrieve any amount of data, and serve any level of request traffic.",
androiddev,Android Development,"Android Development is the process of designing, creating, and maintaining applications and software specifically for the Android platform. As a skill, it involves proficiency in programming languages like Java or Kotlin, the use of Android Studio as a development environment, and understanding Google's Android design guidelines. A skilled Android developer must also be familiar with features such as push notifications, API integration, and database management. This expertise enables developers to create engaging and user-friendly apps that cater to various device resolutions and adhere to standard Android practices to ensure seamless performance across devices.",
angularepl,Angular Framework,Angular is a TypeScript-based free and open-source web application framework,
anomdet,Anomaly Detection/User Behavior Anltcs,"Anomaly Detection/User Behavior Analytics (UBA) is a cybersecurity technique used to identify and analyze unusual patterns or deviations in user behavior within a digital environment. Leveraging advanced statistical algorithms, machine learning, and data mining techniques, this approach helps in detecting threats, malicious activities, or potential vulnerabilities that could compromise network security or data integrity. UBA solutions assist in identifying and preventing unauthorized access, insider threats, and fraud, by continuously monitoring and profiling user activities, thereby enabling organizations to enhance their security posture and maintain compliance with data protection regulations.",
ApacheAnt_epl,Apache Ant,"Apache Ant is a Java library and command-line tool whose mission is to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Ant can also be used effectively to build non Java applications, for instance C or C++ applications. More generally, Ant can be used to pilot any type of process which can be described in terms of targets and tasks.",
ApacheAvro_epl,Apache Avro,"Apache Avroª is the leading serialization format for record data, and first choice for streaming data pipelines. It offers excellent schema evolution, and has implementations for the JVM (Java, Kotlin, Scala, É), Python, C/C++/C#, PHP, Ruby, Rust, JavaScript, and even Perl.",
ApacheCXFepl,Apache CXF,"Being skilled in Apache CXF means the individual in question possess the knowledge about Apache Camel transport, and is able to deploy CXF web services.",
ApacheDerby_epl,Apache Derby,"Apache Derby, an Apache DB subproject, is an open source relational database implemented entirely in Java",
